,Name,Rating,Price,RAM,Display,Camera,Battery,Processor,Number of People Rated,Number of People Review
41,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",4.3,"1,299",8,17.07 cm (6.72 inch) Full HD+ Display,64MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ Processor,"2,826",207
42,"POCO M6 Pro 5G (Power Black, 128 GB)",4.5,"12,999",6,17.07 cm (6.72 inch) Full HD+ Display,64MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ Processor,"4,261",297
43,"realme 11x 5G (Midnight Black, 128 GB)",4.4,"14,999",8,17.07 cm (6.72 inch) Full HD+ Display,64MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ Processor,401,41
44,"realme 11x 5G (Midnight Black, 128 GB)",4.5,"15,999",4,17.07 cm (6.72 inch) Full HD+ Display,64MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ Processor,"4,261",297
45,"realme 11x 5G (Purple Dawn, 128 GB)",4.4,"14,999",4,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Mediatek Helio G37 Processor,401,41
46,"realme 11x 5G (Purple Dawn, 128 GB)",3.9,"15,999",128,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,"16,061","1,323"
47,"MOTOROLA e32 (Arctic Blue, 64 GB)",4.2,"7,999",4,17.12 cm (6.74 inch) HD Display,50MP + 0.08MP | 5MP Front Camera,5000 mAh Battery,T612 Processor,"53,954","3,266"
48,"POCO C55 (Cool Blue, 64 GB)",4.6,"7,499",2,16.76 cm (6.6 inch) HD+ Display,8MP + AI Lens | 5MP Front Camera,5000 mAh Battery,"Spreadtrum 
SC9863A1 Processor","2,00,135","11,400"
49,"APPLE iPhone 11 (White, 128 GB)",4.3,"40,999",2,16.76 cm (6.6 inch) HD+ Display,8MP + AI Lens | 5MP Front Camera,5000 mAh Battery,Spreadtrum SC9863A1 Processor,"21,550",998
50,"realme C51 (Carbon Black, 64 GB)",4.3,"8,999",2,16.76 cm (6.6 inch) HD+ Display,8MP + AI Lens | 5MP Front Camera,5000 mAh Battery,"Spreadtrum 
SC9863A1 Processor","21,550",998
51,"Infinix Smart 7 HD (Silk Blue, 64 GB)",4.3,"5,999",4,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek Helio G35 Processor,"21,550",998
52,"Infinix Smart 7 HD (Jade White, 64 GB)",4.3,"5,999",2,16.76 cm (6.6 inch) HD+ Display,8MP + AI Lens | 5MP Front Camera,5000 mAh Battery,"Spreadtrum 
SC9863A1 Processor","2,28,134","14,078"
